,brand,variant,kilometers,fuel,numbeer of owners,location,Sale Price
19,2013 Maruti Wagon R 1.0 LXI MANUAL,HR-26,"38,604 km",Petrol,1st Owner,New_Delhi,"Fixed Price
₹2,89,799"
20,2010 Maruti Swift Dzire VXI MANUAL,DL-7C,"29,667 km",Petrol,1st Owner,New_Delhi,"₹2,56,499
₹2,51,299"
21,2013 Maruti Wagon R 1.0 VXI MANUAL,DL-13,"35,519 km",Petrol,1st Owner,New_Delhi,"Fixed Price
₹2,78,499"
22,2011 Maruti Wagon R 1.0 LXI MANUAL,DL-9C,"35,454 km",Petrol,1st Owner,New_Delhi,"Fixed Price
₹2,11,199"
23,2010 Maruti Wagon R LXI MINOR MANUAL,DL-9C,"44,461 km",Petrol,1st Owner,New_Delhi,"Fixed Price
₹1,64,199"
24,2020 Maruti Swift LXI MANUAL,HR-51,"16,633 km",Petrol,2nd Owner,New_Delhi,"Fixed Price
₹5,66,499"
25,2009 Hyundai i10 ERA 1.1 IRDE MANUAL,UP-16,"45,140 km",Petrol,1st Owner,New_Delhi,"₹1,99,699
₹1,70,699"
26,2020 Maruti Swift LXI MANUAL,DL-1C,"12,421 km",Petrol,1st Owner,New_Delhi,"₹5,93,399
₹5,77,399"
27,2018 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT MANUAL,UP-14,"12,574 km",Petrol,2nd Owner,New_Delhi,"₹5,10,199
₹5,03,699"
28,2021 Maruti Swift LXI MANUAL,DL-12,"20,002 km",Petrol,1st Owner,New_Delhi,"₹5,79,099
₹5,74,099"
29,2020 Maruti Swift LXI MANUAL,DL-9C,"14,634 km",Petrol,1st Owner,New_Delhi,"₹5,92,599
₹5,87,599"
30,2021 Hyundai AURA S 1.2 Kappa MT MANUAL,HR-50,"5,150 km",Petrol,1st Owner,New_Delhi,"₹6,87,699
₹6,68,499"
31,2019 Maruti Swift LXI MANUAL,DL-11,"26,753 km",Petrol,1st Owner,New_Delhi,"₹5,61,399
₹5,41,899"
32,2019 Hyundai Grand i10 MAGNA 1.2 VTVT MANUAL,UP-16,"20,225 km",Petrol,2nd Owner,New_Delhi,"₹5,21,699
₹4,90,449"
33,2014 Mercedes Benz C Class C 200 AVANTGARDE AUTOMATIC,UP-16,"37,838 km",Petrol,1st Owner,New_Delhi,"₹20,29,199
₹18,54,499"
34,2019 Maruti Swift LXI MANUAL,DL-3C,"13,950 km",Petrol,1st Owner,New_Delhi,"₹5,67,899
₹5,50,999"
35,2022 KIA CARENS LUXURY 1.4G MT 7STR,HR-98,"1,925 km",Petrol,1st Owner,New_Delhi,"₹16,69,399
₹16,08,099"
36,2013 Hyundai i10 MAGNA 1.1 IRDE2 MANUAL,DL-3C,"27,384 km",Petrol,1st Owner,New_Delhi,"Fixed Price
₹2,81,799"
37,2020 Maruti New Wagon-R LXI 1.0 L MANUAL,DL-2C,"2,610 km",Petrol,1st Owner,New_Delhi,"₹5,18,499
₹5,08,899"
38,2018 Hyundai Grand i10 MAGNA 1.2 VTVT MANUAL,DL-8C,"26,383 km",Petrol,1st Owner,New_Delhi,"₹5,17,699
₹5,09,099"
39,2013 Maruti Wagon R 1.0 LXI MANUAL,HR-26,"38,604 km",Petrol,1st Owner,New_Delhi,"Fixed Price
₹2,89,799"
40,2011 Maruti Wagon R 1.0 VXI MANUAL,DL-9C,"28,876 km",Petrol,1st Owner,New_Delhi,"Fixed Price
₹2,82,499"
41,2019 Maruti Swift LXI MANUAL,DL-11,"24,378 km",Petrol,1st Owner,New_Delhi,"₹5,56,599
₹5,40,849"
42,2016 Hyundai Eon ERA PLUS MANUAL,HR-29,"16,660 km",Petrol,2nd Owner,New_Delhi,"Fixed Price
₹2,57,799"
43,2020 KIA SELTOS GTX + AT PETROL AUTOMATIC,DL-8C,"8,241 km",Petrol,1st Owner,New_Delhi,"₹18,95,199
₹16,80,599"
44,2020 Maruti Swift LXI MANUAL,DL-5C,"48,621 km",Petrol,1st Owner,New_Delhi,"₹5,61,799
₹5,42,299"
45,2010 Maruti Swift Dzire ZXI 1.3 MANUAL,DL-9C,"77,946 km",Petrol,2nd Owner,New_Delhi,"Fixed Price
₹2,70,099"
46,2021 Maruti Swift LXI MANUAL,DL-8C,"5,234 km",Petrol,1st Owner,New_Delhi,"₹6,11,299
₹5,93,499"
